"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN","date"
"Hawaii",307.64,452,263.45,522,NA,30,2015-01-01
"Idaho",275.37,450,245.14,672,NA,35,2015-01-01
"Illinois",353.97,5623,282.59,5525,NA,451,2015-01-01
"Indiana",332.48,2385,214.43,2247,NA,326,2015-01-01
"Iowa",364.92,975,289.05,1045,NA,122,2015-01-01
"Kansas",350.24,1160,260.7,999,NA,138,2015-01-01
"Kentucky",338.76,1491,173.9,1506,NA,180,2015-01-01
"Louisiana",361.51,1521,240.78,1350,NA,317,2015-01-01
"Maine",312.3,620,234.89,657,NA,61,2015-01-01
"Montana",265.51,738,241.42,364,NA,32,2015-01-01
"Nebraska",335.65,695,246.33,723,NA,76,2015-01-01
"Nevada",266.14,1237,226.59,1431,NA,78,2015-01-01
"New Hampshire",353.87,599,289.07,658,NA,51,2015-01-01
"New Jersey",345.31,3058,286.53,4197,NA,256,2015-01-01
"New Mexico",289.04,800,219.28,665,NA,68,2015-01-01
"New York",343.8,7840,263.56,8716,NA,616,2015-01-01
"North Carolina",345.24,4111,245.87,3030,NA,314,2015-01-01
"North Dakota",393.94,213,339.6,327,NA,23,2015-01-01
"Ohio",332.59,4242,218.93,4269,NA,550,2015-01-01
"Oklahoma",354.61,1115,238.15,1073,NA,195,2015-01-01
"Oregon",205.8,2179,180.9,2018,NA,95,2015-01-01
"Maryland",366.01,2863,255.84,2463,NA,193,2015-01-01
"Massachusetts",345.62,4002,285.84,3783,NA,289,2015-01-01
"Michigan",288.06,3990,270.77,3728,NA,295,2015-01-01
"Minnesota",351.55,2365,272.96,2467,NA,128,2015-01-01
"Mississippi",335.1,612,150.49,550,NA,143,2015-01-01
"Missouri",351.6,2217,244.97,2114,NA,299,2015-01-01
"Pennsylvania",362.89,5523,269.42,4978,NA,503,2015-01-01
"Rhode Island",317.15,721,258.95,560,NA,47,2015-01-01
"South Carolina",337,1684,205.71,1414,NA,164,2015-01-01
"South Dakota",357.05,222,348.81,256,NA,25,2015-01-01
"Tennessee",348.89,2243,225.38,1912,NA,219,2015-01-01
"Texas",334.2,8241,233.6,8583,NA,1147,2015-01-01
"Utah",290.42,959,238.08,1055,NA,62,2015-01-01
"Vermont",371.23,357,308.86,367,NA,32,2015-01-01
"Virginia",364.95,3514,293.02,3085,NA,285,2015-01-01
"Washington",233.01,3341,189.92,3564,NA,160,2015-01-01
"West Virginia",359.63,552,224.17,546,NA,60,2015-01-01
"Wisconsin",350.49,2246,272.73,2222,NA,167,2015-01-01
"Wyoming",320.39,133,351.86,197,NA,12,2015-01-01
"Alabama",338.8,1095,200.02,984,152.02,129,2014-02-01
"Alaska",288.81,265,254.5,313,388.58,26,2014-02-01
"Arizona",303.17,2020,210.19,1705,195.32,229,2014-02-01
"Arkansas",359.41,602,183.16,574,128.15,119,2014-02-01
"California",248.2,12571,192.8,13406,191.94,804,2014-02-01
"Colorado",237.48,2309,198.12,1898,223.47,138,2014-02-01
"Connecticut",346.91,1346,273.87,1385,252.88,94,2014-02-01
"Delaware",373.91,363,227.38,285,199.88,34,2014-02-01
"District of Columbia",349.35,462,292.22,371,211.38,40,2014-02-01
"Florida",305.93,6829,219.78,5522,156.94,532,2014-02-01
"Georgia",332.05,3237,214.18,2376,154.46,234,2014-02-01
"Hawaii",307.76,338,272.99,370,162.11,26,2014-02-01
"Idaho",275.3,327,257.48,465,133.75,22,2014-02-01
"Illinois",356.89,4192,287.69,3815,176.36,353,2014-02-01
"Indiana",335.59,1748,208.28,1527,161.44,255,2014-02-01
"Iowa",369.77,725,292.45,684,251.78,105,2014-02-01
"Kansas",354.96,862,261.31,669,113.7,111,2014-02-01
"Kentucky",338.84,1059,181.5,1031,125.11,138,2014-02-01
"Louisiana",374.2,1137,242.75,910,149.56,239,2014-02-01
"Maine",319.11,471,259.84,453,214.8,52,2014-02-01
"Montana",271.16,601,251.43,272,734.65,22,2014-02-01
"Nebraska",349.72,535,248.44,531,142.51,63,2014-02-01
"Nevada",270.12,937,219.36,972,252.49,63,2014-02-01
"New Hampshire",376.92,449,285.57,472,550.95,40,2014-02-01
"New Jersey",354.73,2322,292.57,2934,230.04,199,2014-02-01
"New Mexico",293.37,588,205.27,452,63.7,42,2014-02-01
"New York",352.35,6051,268.5,6115,190.16,497,2014-02-01
"North Carolina",355.37,2921,247.42,2003,151.42,236,2014-02-01
"North Dakota",409.28,143,335.38,216,331.9,15,2014-02-01
"Ohio",336.65,3182,213.69,2964,167.26,414,2014-02-01
"Oklahoma",364.39,791,228.53,715,120.16,136,2014-02-01
"Oregon",212.44,1677,188.96,1384,174.52,65,2014-02-01
"Maryland",379.62,2063,250.16,1641,194.99,154,2014-02-01
"Massachusetts",352.84,2996,296.87,2581,220.8,226,2014-02-01
"Michigan",298.18,3162,276.59,2645,228.04,233,2014-02-01
"Minnesota",370.4,1787,278.01,1629,181.28,103,2014-02-01
"Mississippi",338.86,430,149.19,369,143.99,105,2014-02-01
"Missouri",367.31,1635,242.19,1356,149.58,214,2014-02-01
"Pennsylvania",371.47,4025,266.6,3397,193.02,384,2014-02-01
"Rhode Island",333.52,548,261.15,377,201.75,34,2014-02-01
"South Carolina",346.43,1209,202.01,949,171.2,125,2014-02-01
"South Dakota",389.9,170,369,174,125.68,20,2014-02-01
"Tennessee",358.19,1627,225.32,1302,196.86,157,2014-02-01
"Texas",342.07,6250,235.99,5980,142.88,888,2014-02-01
"Utah",293.06,712,233.2,718,168.59,44,2014-02-01
"Vermont",377.22,289,321.36,242,187.64,25,2014-02-01
"Virginia",373.81,2585,287.78,2078,225.76,218,2014-02-01
"Washington",235.43,2433,191.21,2465,153.14,114,2014-02-01
"West Virginia",364.28,379,197.45,390,158.3,41,2014-02-01
"Wisconsin",357.72,1698,270.51,1451,233.39,133,2014-02-01
"Wyoming",354.03,94,378.64,137,161.3,11,2014-02-01
"Alabama",335.85,1583,209.19,1524,NA,193,2015-02-01
"Alaska",302.89,358,271.01,492,NA,37,2015-02-01
"Arizona",297.02,2731,208.31,2526,NA,313,2015-02-01
"Arkansas",341.84,875,208.99,870,NA,146,2015-02-01
"California",243.3,16904,188.95,19764,NA,1123,2015-02-01
"Colorado",242.8,3235,195.92,2984,NA,188,2015-02-01
"Connecticut",336.04,1871,267.14,2140,NA,131,2015-02-01
"Delaware",363.88,504,234.61,448,NA,44,2015-02-01
"District of Columbia",347.83,675,282.82,610,NA,49,2015-02-01
"Florida",300.26,9662,216.3,8526,NA,711,2015-02-01
"Georgia",322.74,4589,216.77,3617,NA,313,2015-02-01
"Hawaii",306.34,464,261.94,542,NA,30,2015-02-01
"Idaho",275.45,467,243.24,694,NA,36,2015-02-01
"Illinois",352.48,5783,282.38,5723,NA,459,2015-02-01
"Indiana",331.38,2454,216.18,2335,NA,335,2015-02-01
"Iowa",365.1,995,289.48,1088,NA,123,2015-02-01
"Kansas",348.95,1191,259.9,1043,NA,142,2015-02-01
"Kentucky",338.45,1543,173.71,1565,NA,182,2015-02-01
"Louisiana",361.21,1579,241.3,1416,NA,329,2015-02-01
"Maine",304.94,632,234.82,683,NA,64,2015-02-01
"Montana",265.34,748,247.53,382,NA,32,2015-02-01
"Nebraska",335.4,710,243.73,758,NA,76,2015-02-01
"Nevada",265.48,1275,226.41,1480,NA,79,2015-02-01
"New Hampshire",353.09,612,288.14,673,NA,52,2015-02-01
"New Jersey",345.09,3154,285.72,4368,NA,263,2015-02-01
"New Mexico",287.82,823,219.03,686,NA,71,2015-02-01
"New York",343.09,8058,262.93,9015,NA,628,2015-02-01
"North Carolina",344.52,4250,245.55,3151,NA,325,2015-02-01
"North Dakota",387.11,216,320.08,345,NA,25,2015-02-01
"Ohio",332.48,4386,219.86,4449,NA,562,2015-02-01
"Oklahoma",352.64,1161,238.4,1104,NA,200,2015-02-01
"Oregon",205.32,2232,180.47,2091,NA,99,2015-02-01
"Maryland",362.62,2967,267.45,2563,NA,198,2015-02-01
"Massachusetts",343.92,4101,284.48,3924,NA,294,2015-02-01
"Michigan",287.5,4080,268.2,3871,NA,306,2015-02-01
"Minnesota",347.92,2449,273.52,2574,NA,134,2015-02-01
"Mississippi",335.78,639,151.02,577,NA,150,2015-02-01
"Missouri",349.57,2284,245.95,2199,NA,304,2015-02-01
"Pennsylvania",362.11,5686,269.69,5163,NA,519,2015-02-01
"Rhode Island",316.78,731,255.78,592,NA,47,2015-02-01
"South Carolina",337.05,1749,205.28,1453,NA,165,2015-02-01
"South Dakota",357.66,224,347.72,262,NA,26,2015-02-01
"Tennessee",347.43,2313,226.26,2000,NA,231,2015-02-01
"Texas",333.39,8483,232.31,8910,NA,1176,2015-02-01
"Utah",289.15,983,236.98,1106,NA,66,2015-02-01
"Vermont",369.87,367,306.19,384,NA,32,2015-02-01
"Virginia",364.61,3620,291.12,3212,NA,294,2015-02-01
"Washington",232.87,3429,188.73,3683,NA,162,2015-02-01
"West Virginia",358.12,567,226.35,564,NA,60,2015-02-01
"Wisconsin",348.79,2306,271.23,2320,NA,170,2015-02-01
"Wyoming",322.28,134,350.57,202,NA,12,2015-02-01
"Alabama",340.14,1140,202.42,1034,146.33,133,2014-03-01
"Alaska",286.78,281,252.51,323,388.58,26,2014-03-01
"Arizona",303.05,2093,209.48,1774,195.16,239,2014-03-01
"Arkansas",357.73,630,182.91,593,126.75,125,2014-03-01
"California",247.6,12988,192.97,13906,191.4,839,2014-03-01
"Colorado",237.65,2398,197.59,1984,226.22,145,2014-03-01
"Connecticut",347.01,1389,274.19,1457,252.31,95,2014-03-01
"Delaware",371.68,376,227.71,295,206.61,36,2014-03-01
"District of Columbia",350.61,479,294.21,387,208.53,41,2014-03-01
"Florida",305.18,7138,219.71,5810,153.21,549,2014-03-01
"Georgia",330.86,3368,213.93,2469,151.92,240,2014-03-01
"Hawaii",307.96,353,274.35,382,167.62,27,2014-03-01
"Idaho",275.6,335,256.69,490,129.39,24,2014-03-01
"Illinois",358.11,4357,287.38,3958,177.98,362,2014-03-01
"Indiana",334.51,1827,208.01,1593,168.44,262,2014-03-01
"Iowa",370.98,751,291.46,715,247.69,107,2014-03-01
"Kansas",352.32,898,261,706,114.26,114,2014-03-01
"Kentucky",337.49,1104,181.16,1068,124.52,142,2014-03-01
"Louisiana",373.09,1170,242.63,955,149.38,248,2014-03-01
"Maine",319.72,481,258.32,468,213.48,53,2014-03-01
"Montana",269.87,614,257.03,285,704.89,23,2014-03-01
"Nebraska",347.81,554,249.25,553,141.76,65,2014-03-01
"Nevada",268.51,961,217.94,1021,252.49,63,2014-03-01
"New Hampshire",370.09,463,289.97,481,677.38,41,2014-03-01
"New Jersey",353.34,2393,292.02,3049,231.68,207,2014-03-01
"New Mexico",291.15,612,216.16,472,69.76,43,2014-03-01
"New York",351.18,6209,267.69,6356,189.64,507,2014-03-01
"North Carolina",354.52,3039,247.73,2099,151.27,246,2014-03-01
"North Dakota",401.47,156,353.27,229,363.11,16,2014-03-01
"Ohio",336.13,3306,213.46,3106,165.98,426,2014-03-01
"Oklahoma",365.32,821,227.46,743,116.69,145,2014-03-01
"Oregon",212.01,1731,188.5,1450,169.34,68,2014-03-01
"Maryland",379.56,2147,250.78,1711,191.01,163,2014-03-01
"Massachusetts",352.17,3094,295.62,2690,218.96,233,2014-03-01
"Michigan",297.46,3241,273.82,2756,226.38,240,2014-03-01
"Minnesota",368.88,1845,277.97,1701,181.28,103,2014-03-01
"Mississippi",339.99,451,146.75,394,140.36,112,2014-03-01
"Missouri",367.25,1707,243.01,1416,149.4,217,2014-03-01
"Pennsylvania",370.52,4210,266.67,3571,190.52,394,2014-03-01
"Rhode Island",332.54,570,259.33,387,201.75,34,2014-03-01
"South Carolina",345.87,1267,202.41,998,186.66,131,2014-03-01
"South Dakota",387.89,177,354.47,183,124.17,21,2014-03-01
"Tennessee",356.51,1689,226.78,1358,192.43,168,2014-03-01
"Texas",341.57,6499,235.59,6267,144.45,933,2014-03-01
"Utah",292.86,736,234.54,759,189.78,47,2014-03-01
"Vermont",376.96,293,320.6,256,187.64,25,2014-03-01
"Virginia",372.81,2662,288.32,2165,226.39,225,2014-03-01
"Washington",234.91,2519,191.28,2558,146.32,117,2014-03-01
"West Virginia",362.32,403,217.32,403,160.38,43,2014-03-01
"Wisconsin",357.14,1755,269.92,1510,238.37,138,2014-03-01
"Wyoming",352.41,97,378.46,144,161.3,11,2014-03-01
"Alabama",340.7,1206,204.48,1083,145.88,141,2014-04-01
"Alaska",287.59,286,256.78,343,388.58,26,2014-04-01
"Arizona",302.52,2148,208.67,1857,193.93,251,2014-04-01
"Arkansas",352.22,659,183.17,619,129.26,127,2014-04-01
"California",246.76,13396,192.91,14527,191.98,863,2014-04-01
"Colorado",237.53,2511,196.47,2087,226.28,150,2014-04-01
"Connecticut",346.15,1438,275.46,1511,252.31,95,2014-04-01
"Delaware",372.35,388,226.24,315,206.61,36,2014-04-01
"District of Columbia",346.59,492,291.02,407,214.35,44,2014-04-01
"Florida",304.78,7451,218.73,6071,152.72,577,2014-04-01
"Georgia",329.32,3503,214.85,2595,152.82,249,2014-04-01
"Hawaii",314.67,365,276.75,402,167.62,27,2014-04-01
"Idaho",275.26,348,256.26,509,140.27,26,2014-04-01
"Illinois",357.42,4508,286.74,4118,189.87,376,2014-04-01
"Indiana",334.81,1883,209.8,1675,158.28,269,2014-04-01
"Iowa",370.67,767,292.42,747,247.69,107,2014-04-01
"Kansas",351.52,937,262.21,737,121.53,117,2014-04-01
"Kentucky",340.74,1155,183.18,1128,125.28,146,2014-04-01
"Louisiana",370.01,1208,244.68,999,147.94,257,2014-04-01
"Maine",319.58,502,259.17,487,216.72,56,2014-04-01
"Montana",268.75,629,249.82,298,660.67,25,2014-04-01
"Nebraska",345.01,574,250.38,564,140.02,68,2014-04-01
"Nevada",267.82,996,227.81,1064,252.49,63,2014-04-01
"New Hampshire",361.02,478,290.22,502,677.38,41,2014-04-01
"New Jersey",352.68,2469,291.79,3179,232.13,215,2014-04-01
"New Mexico",291.31,629,213.78,492,75.24,46,2014-04-01
"New York",350.09,6385,266.54,6602,205.8,522,2014-04-01
"North Carolina",353.87,3178,245.65,2212,151.32,248,2014-04-01
"North Dakota",401.73,163,364.35,236,347.51,17,2014-04-01
"Ohio",335.9,3413,215.26,3249,165.02,439,2014-04-01
"Oklahoma",364.77,851,229.7,783,121.24,151,2014-04-01
"Oregon",210.81,1783,186.31,1507,165.54,72,2014-04-01
"Maryland",376.53,2229,249.5,1788,190.34,165,2014-04-01
"Massachusetts",350.19,3198,294.3,2797,217.88,239,2014-04-01
"Michigan",295.32,3337,272.58,2844,229.02,244,2014-04-01
"Minnesota",367.91,1919,276.99,1792,186.51,106,2014-04-01
"Mississippi",343.54,471,147.09,406,141.39,118,2014-04-01
"Missouri",368.12,1777,244.86,1503,150.52,224,2014-04-01
"Pennsylvania",369.1,4376,267.53,3701,193.44,411,2014-04-01
"Rhode Island",331.58,581,258.86,406,201.75,34,2014-04-01
"South Carolina",345.06,1312,202.44,1044,187.5,137,2014-04-01
"South Dakota",388.48,178,353.75,192,124.17,21,2014-04-01
"Tennessee",356.58,1757,226.72,1423,190.39,172,2014-04-01
"Texas",340.29,6726,234.45,6545,142.83,954,2014-04-01
"Utah",291.26,763,242.66,790,187.19,48,2014-04-01
"Vermont",376.97,301,319.68,263,190.36,26,2014-04-01
"Virginia",371.61,2751,287.73,2252,226.79,229,2014-04-01
"Washington",234.15,2617,190.94,2653,143.67,121,2014-04-01
"West Virginia",359.56,427,215.08,419,160.12,45,2014-04-01
"Wisconsin",356.18,1804,270.82,1592,242.49,140,2014-04-01
"Wyoming",354.72,103,370.55,148,161.3,11,2014-04-01
"Alabama",340.63,1255,205.03,1121,143.76,144,2014-05-01
"Alaska",287.94,294,257.4,353,375.82,27,2014-05-01
"Arizona",301.26,2216,208.4,1937,191.43,260,2014-05-01
"Arkansas",352.07,684,185.34,638,129.02,128,2014-05-01
"California",246.04,13787,191.89,15047,191.4,891,2014-05-01
"Colorado",236.67,2594,196.35,2179,233.09,155,2014-05-01
"Connecticut",344.77,1470,272.63,1561,249.46,99,2014-05-01
"Delaware",369.2,404,228.59,323,209.72,38,2014-05-01
"District of Columbia",347.06,507,292,425,211.88,46,2014-05-01
"Florida",304.38,7727,218.02,6334,153.21,593,2014-05-01
"Georgia",329.02,3622,214.86,2686,153.75,255,2014-05-01
"Hawaii",314.53,377,275.69,415,165.55,28,2014-05-01
"Idaho",276.49,357,252.99,524,139.21,27,2014-05-01
"Illinois",356.65,4640,285.96,4257,189.38,383,2014-05-01
"Indiana",334.97,1945,210.35,1735,156.73,277,2014-05-01
"Iowa",368.87,795,290.19,779,247.1,110,2014-05-01
"Kansas",350.31,962,261.91,770,118.41,121,2014-05-01
"Kentucky",339.09,1194,182.37,1169,124.69,155,2014-05-01
"Louisiana",370.67,1244,244.38,1044,146.06,265,2014-05-01
"Maine",317.35,517,257.95,510,274.25,58,2014-05-01
"Montana",268.22,639,251.87,309,645.6,26,2014-05-01
"Nebraska",344.1,591,250.96,581,138.35,69,2014-05-01
"Nevada",268.26,1029,227.36,1105,243.46,66,2014-05-01
"New Hampshire",359.59,488,291.36,522,677.38,41,2014-05-01
"New Jersey",351.64,2538,290.8,3285,231.39,218,2014-05-01
"New Mexico",290.88,641,200.99,516,87.84,50,2014-05-01
"New York",349,6544,266.6,6819,205.21,529,2014-05-01
"North Carolina",352.38,3284,244.04,2301,151.01,255,2014-05-01
"North Dakota",391.23,169,350.39,245,334.13,18,2014-05-01
"Ohio",336.15,3516,216.39,3385,164.2,452,2014-05-01
"Oklahoma",366.06,870,234.98,821,120.06,156,2014-05-01
"Oregon",210.12,1816,185.73,1551,165.81,76,2014-05-01
"Maryland",374.62,2296,250.55,1856,188.84,169,2014-05-01
"Massachusetts",350.76,3294,293.99,2896,219.16,244,2014-05-01
"Michigan",295.2,3400,277.58,2949,275.43,252,2014-05-01
"Minnesota",367.61,1980,276.61,1875,183.45,108,2014-05-01
"Mississippi",341.5,487,145.4,423,140.57,120,2014-05-01
"Missouri",368.41,1823,243.51,1581,142.19,240,2014-05-01
"Pennsylvania",368.33,4489,267.5,3853,196.36,424,2014-05-01
"Rhode Island",329.98,592,258.55,417,208.36,35,2014-05-01
"South Carolina",343.28,1355,201.48,1077,186.91,139,2014-05-01
"South Dakota",387.6,179,355.63,200,123.94,22,2014-05-01
"Tennessee",355.46,1820,224.95,1472,187.46,176,2014-05-01
"Texas",339.48,6901,234.16,6791,143.05,984,2014-05-01
"Utah",290.18,789,240.17,822,204.76,51,2014-05-01
"Vermont",376.44,314,320.96,273,190.36,26,2014-05-01
"Virginia",370.43,2838,288.22,2355,222.83,240,2014-05-01
"Washington",233.36,2675,190.41,2743,141.86,123,2014-05-01
"West Virginia",354.78,443,214.48,432,156.1,48,2014-05-01
"Wisconsin",355.12,1852,271.96,1652,239.46,143,2014-05-01
"Wyoming",349.95,107,359.98,155,161.3,11,2014-05-01
"Alabama",340.52,1301,204.38,1174,144.04,148,2014-06-01
"Alaska",286.09,307,253.31,372,359.87,30,2014-06-01
"Arizona",302.29,2271,208.82,1994,187.18,270,2014-06-01
"Arkansas",350.21,701,184.89,662,127.16,130,2014-06-01
"California",245.71,14178,192.27,15588,190.06,930,2014-06-01
"Colorado",236.9,2662,196.47,2253,231.56,158,2014-06-01
"Connecticut",343.81,1508,273.11,1613,251.03,100,2014-06-01
"Delaware",368.97,410,225.17,335,204.86,39,2014-06-01
"District of Columbia",346.85,527,291.02,443,209.83,47,2014-06-01
"Florida",303.16,7979,217.93,6590,152.18,603,2014-06-01
"Georgia",327.17,3730,214.91,2802,144.77,266,2014-06-01
"Hawaii",313.34,383,276.22,433,165.55,28,2014-06-01
"Idaho",275.7,367,251.25,540,136.89,28,2014-06-01
"Illinois",356.17,4748,285.11,4406,190.37,394,2014-06-01
"Indiana",333.55,2000,210.49,1818,156.38,281,2014-06-01
"Iowa",367.37,817,288.66,806,247.1,110,2014-06-01
"Kansas",349.8,987,260.05,791,120.31,125,2014-06-01
"Kentucky",339.4,1230,182.96,1215,124.92,158,2014-06-01
"Louisiana",367.56,1285,244.38,1087,144.4,274,2014-06-01
"Maine",317.83,528,257.14,526,274.25,58,2014-06-01
"Montana",268,652,251.91,315,632.31,27,2014-06-01
"Nebraska",343.86,603,250.55,601,134.87,72,2014-06-01
"Nevada",268.16,1052,229.8,1154,238.93,69,2014-06-01
"New Hampshire",359.42,501,291.77,535,657.98,43,2014-06-01
"New Jersey",350.9,2596,289.74,3374,224.74,222,2014-06-01
"New Mexico",290.23,656,201.6,533,85.81,52,2014-06-01
"New York",347.79,6693,266.21,7062,205.69,539,2014-06-01
"North Carolina",350.83,3394,245.19,2398,152.35,263,2014-06-01
"North Dakota",400.69,177,362.38,252,348.9,19,2014-06-01
"Ohio",335.89,3598,216.4,3492,162.89,467,2014-06-01
"Oklahoma",366.05,893,233.9,847,118.71,160,2014-06-01
"Oregon",209.54,1858,185.17,1606,163.84,77,2014-06-01
"Maryland",372.43,2363,250.54,1941,187.17,174,2014-06-01
"Massachusetts",350.74,3396,293.25,2992,218.76,248,2014-06-01
"Michigan",294.71,3489,277.32,3042,273.42,257,2014-06-01
"Minnesota",366.38,2029,277.99,1951,181.83,109,2014-06-01
"Mississippi",337.81,511,145.68,445,146.82,123,2014-06-01
"Missouri",363.4,1876,244.16,1652,143.53,260,2014-06-01
"Pennsylvania",367.26,4614,266.94,3992,193.82,434,2014-06-01
"Rhode Island",328.47,612,256.61,430,203.71,38,2014-06-01
"South Carolina",343.88,1391,201.45,1119,189.58,142,2014-06-01
"South Dakota",383.04,185,351.01,208,123.94,22,2014-06-01
"Tennessee",354.51,1878,225.25,1525,187.46,176,2014-06-01
"Texas",338.36,7072,233.42,7004,142.93,1012,2014-06-01
"Utah",289.27,807,239.14,853,208.27,55,2014-06-01
"Vermont",376.94,316,321.2,283,190.36,26,2014-06-01
"Virginia",369.45,2924,288.04,2454,222.77,243,2014-06-01
"Washington",232.6,2740,190.09,2834,141.84,129,2014-06-01
"West Virginia",355.22,462,215.59,442,155.8,49,2014-06-01
"Wisconsin",354.59,1897,271.81,1715,237.56,145,2014-06-01
"Wyoming",350.72,108,359.79,158,161.3,11,2014-06-01
"Alabama",337.29,1888,206.14,1806,NA,218,2015-06-01
"Alaska",292.84,405,265,574,NA,41,2015-06-01
"Arizona",296.71,2991,208.3,2869,NA,344,2015-06-01
"Arkansas",333.9,990,211.88,992,NA,171,2015-06-01
"California",241.92,18468,187.87,22012,NA,1231,2015-06-01
"Colorado",241.11,3597,194.85,3425,NA,215,2015-06-01
"Connecticut",332.33,2112,264.79,2512,NA,146,2015-06-01
"Delaware",353.64,566,241.95,506,NA,47,2015-06-01
"District of Columbia",345.21,762,282.1,726,NA,54,2015-06-01
"Florida",297.04,10801,215.84,9696,NA,782,2015-06-01
"Georgia",317.05,5219,216.5,4201,NA,346,2015-06-01
"Hawaii",302.25,536,259.2,619,NA,32,2015-06-01
"Idaho",273.11,508,241.6,797,NA,42,2015-06-01
"Illinois",348.86,6377,279.44,6519,NA,508,2015-06-01
"Indiana",328.38,2753,218,2643,NA,362,2015-06-01
"Iowa",362.09,1098,287.43,1223,NA,135,2015-06-01
"Kansas",345.95,1296,260.93,1201,NA,154,2015-06-01
"Kentucky",341.26,1704,184.61,1771,NA,201,2015-06-01
"Louisiana",357.81,1859,240.69,1672,NA,369,2015-06-01
"Maine",304.65,700,232.77,771,NA,73,2015-06-01
"Montana",264.58,786,238.3,446,NA,36,2015-06-01
"Nebraska",330.49,787,239.47,857,NA,78,2015-06-01
"Nevada",266.04,1432,224.01,1651,NA,89,2015-06-01
"New Hampshire",349.89,663,285.17,757,NA,58,2015-06-01
